Gap Distance (mm) from sensor,Analog Reading
2.5,1020
2.75,995
3,960
3.5,880
4,810
4.5,775
5,745
5.5,719
6,702
6.5,685
7,673
7.5,657
8,648
8.5,641
9,632
9.5,624
10,619
10.5,614
11,609
11.5,606
12.5,599
13.5,594
14.5,590
15.5,587
16.5,584
17.5,579
18.5,579
20.5,579
22.5,574
25,572
