,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255
0.017230284,16.21,17.43,19.05,19.82,20.54,21.47,22.87,23.73,24.05,24.71,25.33,25.84,26.37,26.64,27.41,27.62,28.11,28.38,28.72,29.02,29.26,29.63
0.030990771,14.12,15.17,15.79,17.38,17.59,18.13,19.24,19.73,20.74,21.04,21.38,22,22.71,22.88,23.33,23.83,24.05,24.5,24.6,25.04,25.3,25.62
0.042635241,12.44,13.16,13.25,14.17,14.86,15.53,16.43,17.41,17.54,18.17,19.02,19.26,19.36,19.74,19.87,20.45,20.8,21.47,21.63,21.89,22.32,22.4
0.056707686,10.48,11.67,12.48,13.14,13.86,14.54,15.01,15.46,16.23,16.43,17.12,17.59,18.34,18.47,18.57,18.58,19.53,19.71,20.07,20.37,20.12,20.54
0.070283745,10.14,11.18,11.62,12.24,12.93,13.07,13.26,14.12,14.85,14.9,15.12,15.88,16.07,16.76,16.9,17.59,17.63,17.83,17.9,18.42,18.6,18.71
0.083819583,9.13,10.05,10.35,11.09,11.32,12.3,12.68,12.96,13.28,13.53,14.31,14.64,15.23,15.57,15.72,15.9,16.43,16.82,17.2,17.12,17.03,16.97
0.097342668,8.7,9.13,9.28,10.36,10.83,10.75,11.57,11.53,12.25,12.43,13.22,13.5,14,14.34,14.52,14.6,14.82,15.47,15.67,15.94,16.21,16.47
0.110855943,8.21,8.84,9.17,9.5,9.77,10.57,10.86,11.53,11.76,12.29,12.32,12.64,13.09,13.13,13.95,14.2,14.66,14.67,14.86,14.96,15.13,15.38
