metadata,3 big magnets and 5 medium magnets,no electromagnet
51,508
46,507
41,507
36,506
31,504
26,501
21,495
16,486
11,457
6,350
metadata,3 big magnets and 5 medium mangets,with electromagnet(200)
51,451
46,451
41,451
36,448
31,448
26,445
21,440
16,425
11,402
6,289
