Gap Distance (mm) from sensor,Analog Reading
3,1019
3.25,994
3.5,968
3.75,940
4,908
4.25,888
4.5,870
4.75,856
5,835
5.25,821
5.5,802
5.75,790
6,778
6.25,776
6.5,768
7,745
7.5,736
8,716
8.5,698
9,682
9.5,668
10,660
10.5,653
11,647
11.5,641
12,636
12.5,631
13,627
13.5,623
15,615
20,597
25,587
